Untitled_Curation_15_04_2026
title;authors;pmid;pmcid;doi;articleYear;journal;articleLink;source;status;exclusion;tags;neurostoreId
Altered Whole-Brain Structural Covariance of the Hippocampal Subfields in Subcortical Vascular Mild Cognitive Impairment and Amnestic Mild Cognitive Impairment Patients;"Wang X; Yu Y; Zhao W; Li Q; Li X; Li S; Yin C; Han Y";29872419;PMC5972219;10.3389/fneur.2018.00342;2018;Front Neurol;https://pubmed.ncbi.nlm.nih.gov/29872419;Neurostore;Identification;Duplicate;;JyukBiRXuA8P
Relevance of brain lesion location for cognition in vascular mild cognitive impairment;"Giorgio A; Di Donato I; De Leucio A; Zhang J; Salvadori E; Poggesi A; Diciotti S; Cosottini M; Ciulli S; Inzitari D; Pantoni L; Mascalchi M; Federico A; Dotti MT; De Stefano N; VMCI-Tuscany Study Group";30927600;PMC6439281;10.1016/j.nicl.2019.101789;2019;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/30927600;Neurostore;Identification;Duplicate;;uEtebVUFZFJF
Study of gray matter atrophy pattern with subcortical ischemic vascular disease-vascular cognitive impairment no dementia based on structural magnetic resonance imaging;"Tan L; Xing J; Wang Z; Du X; Luo R; Wang J; Zhao J; Zhao W; Yin C";36815175;PMC9939744;10.3389/fnagi.2023.1051177;2023;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/36815175;Neurostore;Identification;Duplicate;;t9LdogPkgqVQ
Cerebral gray matter volume reduction in subcortical vascular mild cognitive impairment patients and subcortical vascular dementia patients, and its relation with cognitive deficits;"Li M; Meng Y; Wang M; Yang S; Wu H; Zhao B; Wang G";28828207;PMC5561307;10.1002/brb3.745;2017;Brain Behav;https://pubmed.ncbi.nlm.nih.gov/28828207;Neurostore;Identification;Duplicate;;bsSshZxJoBLB
Resting state fMRI regional homogeneity correlates with cognition measures in subcortical vascular cognitive impairment;"Diciotti, Stefano;Orsolini, Stefano;Salvadori, Emilia;Giorgio, Antonio;Toschi, Nicola;Ciulli, Stefano;Ginestroni, Andrea;Poggesi, Anna;De Stefano, Nicola;Pantoni, Leonardo;Inzitari, Domenico;Mascalchi, Mario";28131162;;10.1016/j.jns.2016.12.003;2017;Journal of the neurological sciences;https://pubmed.ncbi.nlm.nih.gov/28131162;Neurostore;Identification;Duplicate;;6pZgioScw84R
Hippocampal vascular reserve associated with cognitive performance and hippocampal volume;"Perosa V; Priester A; Ziegler G; Cardenas-Blanco A; Dobisch L; Spallazzi M; Assmann A; Maass A; Speck O; Oltmer J; Heinze HJ; Schreiber S; Düzel E";31994699;PMC7009470;10.1093/brain/awz383;2020;Brain;https://pubmed.ncbi.nlm.nih.gov/31994699;Neurostore;Identification;Duplicate;;YJ5dm3A4Hepo
Quantitative morphometric changes in vascular mild cognitive impairment patients: early diagnosis of dementia.;Jitian Guan, Qiuyu Li, Zhuozhi Dai, Lingfeng Lai, Shuyi Sun, Yiqun Geng, Zhiwei Shen, Lan Luo, Yanlong Jia, Lin Yang, Yanyan Tang, Gen Yan, Renhua Wu;36635220;PMC10152087;10.1093/cercor/bhac437;2023;Cerebral cortex (New York, N.Y. : 1991);https://pubmed.ncbi.nlm.nih.gov/36635220;Neurostore;Identification;Duplicate;;5nbdKnTMAaf8
Analysis of Factors Affecting Cranial Nerve Function of Patients With Vascular Mild Cognitive Impairment Through Functional Magnetic Resonance Imaging Under Artificial Intelligence Environment;"Zhang, Lifang; Li, Yanran; Bian, Lin; Luo, Qingrong; Zhang, Xiaoxi; Zhao, Bing";35399347;PMC8989955;10.3389/fpubh.2021.803659;2021;Front Public Health;https://pubmed.ncbi.nlm.nih.gov/35399347;Neurostore;Identification;Duplicate;;CDJyTC3KQwu8
Altered serum amyloid beta and cerebral perfusion and their associations with cognitive function in patients with subcortical ischemic vascular disease;"Zhang W; Li M; Zhou X; Huang C; Wan K; Li C; Yin J; Zhao W; Zhang C; Zhu X; Sun Z";36312019;PMC9608371;10.3389/fnins.2022.993767;2022;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/36312019;Neurostore;Identification;Duplicate;;7FNZqHXCeLSC
Abnormal functional connectivity in patients with vascular cognitive impairment, no dementia: A resting-state functional magnetic resonance imaging study;Sun YW, Qin LD, Zhou Y, Xu Q, Qian LJ, Tao J, Xu JR;21605598;;10.1016/j.bbr.2011.05.006;2011;Behavioural brain research;https://pubmed.ncbi.nlm.nih.gov/21605598;Neurostore;Identification;Duplicate;;RX9WYK4nyYEw
